iter	Passed	Remaining
0	195	195059
1	304	152079
2	421	140137
3	575	143363
4	771	153522
5	961	159237
6	1227	174165
7	1515	187913
8	1629	179411
9	1881	186308
10	2010	180732
11	2207	181709
12	2352	178589
13	2592	182599
14	2709	177937
15	2977	183117
16	3170	183315
17	3352	182906
18	3453	178295
19	3589	175902
20	3798	177088
21	4000	177846
22	4334	184118
23	4926	200346
24	5144	200654
25	5398	202220
26	5790	208655
27	5965	207072
28	6123	205025
29	6323	204467
30	6461	201984
31	6608	199899
32	6722	196993
33	6837	194274
34	6943	191451
35	7081	189624
36	7213	187738
37	7313	185147
38	7435	183221
39	7563	181534
40	7650	178954
41	7778	177412
42	7929	176474
43	8032	174521
44	8122	172370
45	8225	170580
46	8325	168802
47	8421	167028
48	8543	165818
49	8687	165053
50	8878	165202
51	8964	163425
52	9099	162583
53	9297	162886
54	9667	166102
55	10001	168601
56	10137	167705
57	10319	167596
58	10605	169149
59	10858	170117
60	11103	170919
61	11401	172492
62	11565	172007
63	11702	171148
64	11840	170323
65	12078	170926
66	12256	170678
67	12370	169542
68	12534	169120
69	12681	168489
70	12930	169195
71	13161	169635
72	13476	171133
73	13807	172777
74	13922	171711
75	14126	171750
76	14320	171655
77	14516	171587
78	14639	170671
79	14735	169455
80	14846	168440
81	15014	168088
82	15155	167442
83	15316	167025
84	15462	166444
85	15594	165734
86	15726	165034
87	15901	164799
88	16035	164135
89	16199	163796
90	16378	163605
91	16535	163199
92	16779	163644
93	17140	165204
94	17265	164479
95	17409	163936
96	17596	163808
97	17780	163655
98	17983	163667
99	18169	163523
100	18304	162926
101	18502	162891
102	18622	162175
103	18773	161737
104	18869	160843
105	19022	160435
106	19173	160014
107	19390	160153
108	19511	159494
109	19660	159075
110	19794	158536
111	19949	158168
112	20062	157484
113	20254	157415
114	20373	156789
115	20494	156179
116	20595	155438
117	20719	154871
118	20823	154161
119	20986	153899
120	21189	153928
121	21462	154458
122	21654	154395
123	21778	153852
124	21897	153284
125	22335	154929
126	22459	154390
127	22613	154056
128	22730	153476
129	22817	152704
130	22964	152337
131	23110	151969
132	23193	151192
133	23292	150531
134	23475	150419
135	23625	150093
136	23754	149635
137	23830	148852
138	23933	148247
139	24043	147695
140	24155	147158
141	24229	146399
142	24357	145973
143	24458	145390
144	24571	144889
145	24685	144393
146	24788	143840
147	24886	143263
148	25035	142989
149	25242	143042
150	25459	143147
151	25566	142635
152	25692	142229
153	25827	141881
154	26004	141767
155	26124	141341
156	26279	141108
157	26369	140525
158	26534	140349
159	26669	140013
160	26803	139677
161	26995	139642
162	27162	139476
163	27305	139192
164	27447	138899
165	27627	138804
166	27826	138799
167	28018	138758
168	28174	138536
169	28329	138314
170	28497	138156
171	28689	138111
172	28911	138208
173	29052	137915
174	29267	137974
175	29450	137883
176	29587	137574
177	29697	137143
178	29821	136779
179	30059	136938
180	30257	136911
181	30490	137037
182	30719	137145
183	30930	137170
184	31080	136921
185	31230	136676
186	31336	136238
187	31447	135827
188	31667	135884
189	31831	135701
190	31969	135411
191	32124	135190
192	32224	134743
193	32346	134387
194	32466	134028
195	32619	133806
196	32776	133601
