iter	Passed	Remaining
0	90	8917
1	196	9643
2	297	9616
3	386	9264
4	437	8310
5	507	7946
6	677	8995
7	726	8349
8	837	8472
9	936	8424
10	968	7833
11	1153	8457
12	1326	8878
13	1461	8980
14	1568	8887
15	1662	8727
16	1823	8903
17	1925	8773
18	2119	9036
19	2259	9037
20	2437	9169
21	2566	9098
22	2719	9105
23	2807	8889
24	2918	8756
25	3020	8597
26	3269	8840
27	3440	8847
28	3655	8948
29	3776	8812
30	3882	8641
31	4048	8603
32	4153	8432
33	4276	8301
34	4392	8157
35	4544	8079
36	4713	8025
37	4855	7922
38	5013	7841
39	5122	7684
40	5225	7520
41	5325	7354
42	5435	7205
43	5546	7058
44	5673	6934
45	5808	6818
46	5915	6670
47	6025	6527
48	6179	6431
49	6317	6317
50	6425	6173
51	6543	6040
52	6711	5951
53	6850	5835
54	6948	5685
55	7075	5559
56	7221	5447
57	7335	5312
58	7486	5202
59	7614	5076
60	7763	4963
61	7892	4837
62	8026	4713
63	8131	4573
64	8208	4419
65	8327	4289
66	8421	4148
67	8536	4017
68	8669	3895
69	8756	3752
70	8856	3617
71	8987	3495
72	9020	3336
73	9105	3199
74	9189	3063
75	9224	2912
76	9309	2780
77	9415	2655
78	9522	2531
79	9606	2401
80	9685	2271
81	9757	2141
82	9824	2012
83	9912	1888
84	10037	1771
85	10145	1651
86	10246	1531
87	10321	1407
88	10406	1286
89	10505	1167
90	10593	1047
91	10671	927
92	10768	810
93	10872	693
94	10984	578
95	11090	462
96	11191	346
97	11293	230
98	11373	114
99	11458	0
